clean-energy.py,lit-lightbulb.py
inclined-plane.py,multimeter.py
volume-stone.py,balance-scale-weigh.py
make-campfire.py,volume-stone.py
bird-life-cycle.py,use-bandage.py
volume-stone.py,thermometer.py
blood-type.py,sunburn.py
volume-container.py,make-campfire.py
metal-detector.py,clean-energy.py
wash-clothes.py,conductivity.py
sweep-floor.py,make-campfire.py
plant-tree.py,refrigerate-food.py
bird-life-cycle.py,sweep-floor.py
conductivity.py,mix-paint.py
volume.py,lit-lightbulb.py
sweep-floor.py,refrigerate-food.py
