make-ice-cubes.py,refrigerate-food.py
volume-stone.py,balance-scale-weigh.py
refrigerate-food.py,metal-detector.py
cooking.py,use-bandage.py
make-campfire.py,balance-scale-weigh.py
lit-lightbulb.py,clean-energy.py
make-ice-cubes.py,mix-paint.py
sunburn.py,refrigerate-food.py
volume.py,forge-key.py
bath-tub-water-temperature.py,use-bandage.py
boil-water.py,bird-life-cycle.py
take-photo.py,bird-life-cycle.py
forge-key.py,volume.py
metal-detector.py,multimeter.py
space-walk.py,plant-tree.py
scale-weigh.py,hang-painting.py
